slot_id,status,vehicle_plate
1,free,
2,free,
3,free,
4,free,
5,free,
6,free,
7,free,
8,free,
9,free,
10,free,
11,free,
12,free,
13,free,
14,free,
15,free,
16,free,
17,free,
18,free,
19,free,
20,free,
21,free,
22,free,
23,free,
24,free,
25,free,
26,free,
27,free,
28,free,
29,free,
30,free,
31,free,
32,free,
33,free,
34,free,
35,free,
36,free,
37,free,
38,free,
39,free,
40,free,
41,free,
42,free,
43,free,
44,free,
45,free,
46,free,
47,free,
48,free,
49,free,
50,free,
51,free,
52,free,
53,free,
54,free,
55,free,
56,free,
57,free,
58,free,
59,free,
60,free,
61,free,
62,free,
63,free,
64,free,
65,free,
66,free,
67,free,
68,free,
69,free,
70,free,
